time,close,high,low,open,volumefrom,volumeto
1523617200,8101.85,8153.94,8075.1,8077.89,5422.17,44192475.52
1523613600,8077.89,8104.46,8026.82,8069.29,4769.23,38656782.1
1523610000,8068.38,8166.34,8066.51,8139.67,7457.78,60755709.23
1523606400,8139.63,8157.24,8062.21,8109.01,7577.63,61726282.98
1523602800,8109.01,8199.37,7834.86,7835.03,16051.28,128824002.64
1523599200,7835.02,7888.14,7801.38,7808.01,3878.93,30569040.41
1523595600,7806.29,7840.57,7777.88,7834.47,2693.32,21140967.73
1523592000,7832.39,7854.06,7804.49,7835.01,2672.2,21007411.03
1523588400,7835.01,7909.77,7834.97,7889.6,2806.55,22173304.47
1523584800,7889.6,7899.81,7800.07,7800.07,4218.04,33313978.15
1523581200,7800.2,7906.64,7758.8,7904.93,5820.23,45766237.18
1523581200,7800.2,7906.64,7758.8,7904.93,5820.23,45766237.18
1523577600,7904.59,7999.41,7837.08,7927.73,7612.55,60649001.45
1523574000,7927.73,7987.82,7852.06,7876.19,8398.96,66773119.92
1523570400,7876.19,7876.19,7765.81,7842.67,5392.21,42353830.83
1523566800,7842.67,7910.47,7720.11,7740.95,8897.96,69951748.68
1523563200,7740.95,7755.97,7694.64,7696.43,3261.06,25312200.93
1523559600,7696.39,7776.41,7690.65,7695.94,3944.56,30559736.37
1523556000,7695.94,7720.72,7668.27,7701.12,3348.71,25878606.62
1523552400,7701.12,7786.54,7642.18,7642.73,9996.47,77311963.69
1523548800,7642.73,7647.91,7598.76,7640.5,6581.18,50331054.81
1523545200,7640.61,7675.94,7622.47,7667.91,6221.44,47830931.57
1523541600,7667.91,7738.91,7616.66,7704.53,7612.95,58795256.77
1523538000,7704.54,7750.77,7656.77,7720.38,11145.58,86234323.18
1523534400,7720.27,7809.94,7656.85,7757.92,21493.4,166614762.94
1523530800,7757.92,8051.95,6961.0,6962.6,61787.67,471140709.81
1523527200,6962.6,6976.5,6870.3,6876.57,5039.3,35037486.25
1523523600,6876.33,6879.36,6849.03,6869.62,2754.59,18997261.84
